N, BinaryCmps, TernaryCmps
10000, 14, 18
110000, 17, 22
210000, 18, 22
310000, 19, 24
410000, 19, 24
510000, 19, 24
610000, 20, 24
710000, 20, 24
810000, 20, 26
910000, 20, 26
1010000, 20, 26
1110000, 21, 26
1210000, 21, 26
1310000, 21, 26
1410000, 21, 26
1510000, 21, 26
1610000, 21, 26
1710000, 21, 26
1810000, 21, 26
1910000, 21, 26
2010000, 21, 26
2110000, 22, 26
2210000, 22, 26
2310000, 22, 26
2410000, 22, 28
2510000, 22, 28
2610000, 22, 28
2710000, 22, 28
2810000, 22, 28
2910000, 22, 28
3010000, 22, 28
3110000, 22, 28
3210000, 22, 28
3310000, 22, 28
3410000, 22, 28
3510000, 22, 28
3610000, 22, 28
3710000, 22, 28
3810000, 22, 28
3910000, 22, 28
4010000, 22, 28
4110000, 22, 28
4210000, 23, 28
4310000, 23, 28
4410000, 23, 28
4510000, 23, 28
4610000, 23, 28
4710000, 23, 28
4810000, 23, 28
4910000, 23, 28
